Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.911377,-104.697319,820.795271,3.125665,3.66107,60.938447
1.000001,39.911095,-104.697319,808.171476,-5.417653,-0.765101,62.145286
1.000001,39.910805,-104.697334,784.536071,-4.754343,-6.433788,65.995127
1.000001,39.910492,-104.697342,759.548752,-4.362438,-10.72953,70.004734
1.000001,39.910164,-104.697327,737.013653,-2.19736,-10.872983,73.379938
1.000001,39.909817,-104.697289,719.075013,-0.231886,-9.627238,75.460135
1.000001,39.90947,-104.697227,705.314619,0.578911,-8.283724,74.818056
1.000001,39.90913,-104.697151,693.265632,0.618213,-7.132831,73.601918
1.000001,39.908802,-104.69706,680.964684,0.243377,-5.69433,72.501493
1.000001,39.908478,-104.696953,667.322285,-0.382965,-4.423355,71.637612
1.000001,39.908157,-104.696838,652.05919,-0.828714,-4.032438,71.789252
1.000001,39.907833,-104.696716,636.537878,-0.439523,-3.000316,73.63404
1.000001,39.907501,-104.696587,622.631453,0.518265,-1.505406,75.388356
1.000001,39.907166,-104.696449,606.745592,1.014312,0.236488,75.292449
1.000001,39.906834,-104.69632,589.424713,0.563357,1.314413,73.862531
1.000001,39.906509,-104.69619,571.478013,-0.011983,1.345921,72.561771
1.004933,39.906185,-104.69606,552.020704,-0.665213,1.233598,71.559775
1.000001,39.905872,-104.69593,532.108334,-1.152363,0.936341,70.871537
1.000001,39.905556,-104.695808,521.260676,-0.974005,-0.006216,71.456564
1.000001,39.905235,-104.695686,510.447761,-0.284686,-0.077632,73.329151
1.000001,39.904907,-104.695564,501.575386,0.710892,0.224254,74.92347
1.000001,39.904575,-104.695435,495.110375,1.195278,1.069555,74.346029
1.000001,39.904247,-104.695312,489.008061,0.818114,2.215241,72.829088
1.000001,39.903923,-104.69519,481.314337,0.014577,4.586696,71.504466
1.000001,39.903606,-104.695084,471.401931,-0.826213,6.914968,70.532338
1.000001,39.90329,-104.694984,459.511739,-1.255292,8.073067,71.240434
1.000001,39.902962,-104.694901,447.60708,-0.678729,9.171438,72.922407
1.000001,39.902622,-104.694839,437.864082,0.389437,9.441717,74.144263
1.000001,39.902283,-104.694794,430.929493,1.082631,9.443672,73.309835
1.000001,39.901951,-104.694771,424.757443,0.819035,8.60186,71.39326
