Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.922546,-104.697556,914.070479,27.052935,3.080926,108.762973
1.000001,39.922146,-104.697525,1002.445603,21.389997,-0.342381,94.627778
1.000001,39.921776,-104.697495,1063.339287,9.918957,0.037955,84.297146
1.000001,39.921406,-104.697472,1088.156047,3.329736,-1.547371,78.988914
1.001697,39.921047,-104.697441,1094.5336,2.072206,-2.457008,76.173704
1.000001,39.9207,-104.697411,1094.773996,0.700471,-2.164155,74.017434
1.000001,39.920364,-104.697372,1090.792393,-0.276143,-2.693075,72.440118
1.000001,39.920033,-104.697327,1084.111666,-0.600204,-2.957654,71.249755
1.000001,39.919704,-104.697281,1076.114419,-0.747923,-2.598738,70.204706
1.000001,39.919384,-104.697227,1067.308075,-0.845871,-2.45463,69.261468
1.000001,39.919067,-104.697174,1057.984494,-0.835481,-2.331928,68.415606
1.000001,39.918755,-104.697113,1048.361043,-0.788416,-1.956552,67.608236
1.000001,39.918449,-104.697044,1040.58687,-0.765978,-1.601336,66.826174
1.000001,39.918144,-104.696983,1034.240255,-0.765884,-1.333619,66.087594
1.000003,39.917843,-104.696907,1027.757873,-0.730691,-1.030538,65.392089
1.000001,39.917549,-104.696838,1021.082252,-0.695661,-0.728302,64.717116
1.000001,39.917255,-104.69677,1014.205384,-0.670186,-0.49527,64.067637
1.000001,39.916965,-104.696693,1007.073202,-0.646495,-0.302331,63.444801
1.000001,39.916679,-104.696617,999.77111,-0.624352,-0.131693,62.854035
1.000001,39.916397,-104.696541,992.258359,-0.600666,-0.000657,62.289496
1.000001,39.916115,-104.696472,984.520931,-0.574974,0.0892,61.750622
1.000001,39.915833,-104.696396,976.600678,-0.550571,0.151598,61.238731
1.000001,39.915558,-104.696327,968.536848,-0.528973,0.191153,60.755489
1.000001,39.915283,-104.696251,960.334248,-0.508427,0.208294,60.300543
1.000001,39.915009,-104.696182,951.921589,-0.485678,0.208816,59.868773
1.000001,39.914742,-104.696106,943.411309,-0.461196,0.199973,59.46366
1.000001,39.914471,-104.696037,934.7955,-0.435059,0.185081,59.082095
1.000001,39.914204,-104.695969,926.026301,-0.411558,0.166436,58.720817
1.000001,39.91394,-104.6959,917.191422,-0.390539,0.146853,58.382281
1.000001,39.913677,-104.695831,908.175019,-0.370501,0.128212,58.061416
1.000001,39.913414,-104.695763,896.821839,-0.338265,0.112109,57.758559
1.000001,39.913155,-104.695694,886.081614,-0.271421,0.099273,57.461626
1.000001,39.912895,-104.695625,875.12362,-0.28643,0.089916,57.182694
1.000001,39.912636,-104.695557,863.878373,-0.313487,0.083775,56.935613
1.000001,39.91238,-104.695488,852.36099,-0.308695,0.081123,56.7111
1.00342,39.912121,-104.695419,839.13135,-0.288692,0.081449,56.500046
1.000001,39.911865,-104.695358,824.178987,-0.259317,0.084097,56.299311
1.000001,39.911613,-104.69529,809.28745,0.148613,0.088667,55.925983
1.000001,39.911362,-104.695221,793.377058,3.647024,0.095897,54.290584
1.000001,39.911121,-104.695152,783.08093,5.456078,0.103185,51.676873
1.000001,39.910892,-104.695091,774.982758,3.495824,0.106813,49.327376
1.003688,39.910671,-104.695023,763.864266,1.188867,0.111239,47.884868
1.000001,39.910458,-104.694962,748.959162,0.118178,0.120223,47.203314
1.000001,39.910248,-104.694901,731.44094,-0.339519,0.1326,46.889964
1.000001,39.910038,-104.694832,712.495862,-0.678442,0.147072,46.774503
1.000013,39.909828,-104.694771,692.738182,-0.822776,0.16181,46.771159
1.000001,39.909622,-104.69471,672.546068,-0.750391,0.175883,46.79069
1.000001,39.909412,-104.694649,652.494877,-0.594403,0.188556,46.776123
1.000001,39.909203,-104.69458,632.56053,-0.44162,0.199076,46.714811
1.000001,39.908997,-104.694519,612.848156,-0.318384,0.206826,46.61511
1.000001,39.908787,-104.694458,593.240361,-0.234873,0.211858,46.491781
1.000001,39.908581,-104.694397,573.748009,-0.191291,0.214298,46.360755
1.000001,39.908375,-104.694336,554.374903,-0.176756,0.214902,46.235361
1.000001,39.908165,-104.694275,534.889459,-0.176988,0.214819,46.121416
1.000001,39.907959,-104.694221,515.401111,-0.180187,0.214792,46.021363
1.000001,39.907753,-104.69416,495.896042,-0.180288,0.215379,45.93402
1.000001,39.907547,-104.694099,478.797337,-0.173929,0.216681,45.855594
1.000001,39.907341,-104.694038,465.937802,-0.139188,0.218987,45.777909
1.000001,39.907139,-104.693985,453.028155,-0.126331,0.221912,45.701907
1.000001,39.906933,-104.693924,440.09578,-0.143212,0.225546,45.635612
1.000001,39.906731,-104.693871,427.10233,-0.14852,0.230011,45.579524
1.000001,39.906525,-104.693817,413.996016,-0.137271,0.234698,45.527336
1.000001,39.906322,-104.693756,400.83889,-0.121619,0.239515,45.475185
1.000001,39.906116,-104.693703,387.743339,-0.105872,0.244544,45.420902
1.000001,39.905914,-104.693649,374.634897,-0.090808,0.249464,45.364717
1.000001,39.905712,-104.693596,361.564377,-0.078761,0.254199,45.307513
1.000001,39.905506,-104.693535,348.430454,-0.069998,0.259291,45.250109
1.000001,39.905304,-104.693481,335.365742,-0.063835,0.263558,45.193876
1.000001,39.905102,-104.693428,322.24511,-0.020744,0.268185,45.096489
1.000001,39.9049,-104.693382,309.967216,1.33482,0.273227,44.4839
1.000001,39.904701,-104.693329,299.543055,3.151675,0.726692,43.293225
1.000001,39.90451,-104.693275,290.354315,2.619892,2.102659,41.995127
1.000001,39.904324,-104.69323,280.524761,1.496798,3.918706,41.012251
1.000001,39.90414,-104.693184,269.015864,0.632513,5.358462,40.408016
1.000001,39.903957,-104.693153,255.603123,-0.378973,7.315446,40.09854
1.000002,39.903778,-104.69313,240.571813,-1.075791,7.447423,40.021171
1.000001,39.903595,-104.693123,224.220028,-1.521698,6.766738,40.095415
1.000001,39.903416,-104.69313,207.481116,-1.048066,6.035579,40.139639
1.000001,39.903233,-104.693153,191.178741,-0.802926,3.429878,40.071853
1.000001,39.903057,-104.693184,175.742258,-0.219606,1.236039,39.96331
1.000001,39.902878,-104.693222,161.207735,0.490466,-1.295029,39.751541
1.000001,39.902699,-104.693253,147.605085,0.804794,-3.228132,39.521178
1.000001,39.902519,-104.693283,134.3706,0.732065,-4.198374,39.367854
1.000001,39.902344,-104.693306,121.258291,0.419946,-3.595119,39.317413
1.000001,39.902164,-104.693321,107.757279,0.25491,-2.963848,39.405842
1.000001,39.901985,-104.693329,93.743135,0.150272,-2.017217,39.529349
1.000001,39.901802,-104.693336,79.385392,-0.166185,-0.439316,39.684489
1.000001,39.901623,-104.693336,64.554942,-0.303567,0.708077,39.824836
1.000001,39.90144,-104.693336,49.505799,-0.328563,1.174122,39.893648
1.000001,39.90126,-104.693336,34.78489,-0.074583,1.623086,39.862846
1.000001,39.901081,-104.693344,20.350614,0.803211,1.926034,39.68853
1.000001,39.900902,-104.693359,6.936711,1.426381,0.896224,39.630933
1.000001,39.900734,-104.693382,0.137655,0.133518,0.8381,31.235165
1.000001,39.900616,-104.693413,0.055439,0.098633,0.8381,21.707271
1.000001,39.900536,-104.693443,0.110495,0.122758,0.8381,12.98184
1.000001,39.900494,-104.693451,0.13757,0.110812,0.8381,5.674032
1.000001,39.900486,-104.693451,0.17376,0.830432,0.8381,0.450517
