Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.921242,-104.69754,934.858677,8.169259,-0.814278,69.219024
1.000001,39.920921,-104.697533,922.409548,3.649708,10.595525,68.376328
1.000001,39.920605,-104.69754,905.076204,-1.055487,2.084825,69.192767
1.000001,39.920284,-104.697556,882.767933,-0.883201,-0.804917,70.998381
1.000001,39.919956,-104.697578,858.180256,-1.903754,-3.776388,72.944223
1.000001,39.919617,-104.697609,833.34162,-0.871954,-9.133753,74.963468
1.000001,39.919273,-104.697617,810.262551,0.607859,-12.112173,76.519917
1.000001,39.918919,-104.697609,790.99127,2.613811,-12.180608,76.873368
1.000001,39.918564,-104.697571,779.619167,5.503243,-9.94018,75.830878
1.000001,39.918221,-104.697502,774.270981,6.441133,-5.794527,74.013645
1.000001,39.917885,-104.697426,769.807635,5.540618,-1.006015,72.284822
1.000001,39.917557,-104.69735,763.524598,3.771378,3.043326,71.168944
1.000001,39.917236,-104.697273,754.241217,2.157155,5.649701,70.74935
1.000001,39.916912,-104.697205,742.033184,0.347304,6.647498,70.920455
1.000001,39.916584,-104.697151,727.382893,-0.450264,6.265504,71.507179
1.000001,39.916256,-104.697113,711.517907,-0.687365,4.874708,72.204687
1.000001,39.915928,-104.697083,695.504739,-0.246059,2.754917,72.823793
1.000001,39.915588,-104.69706,678.603577,0.390776,0.405259,73.238657
1.000001,39.915253,-104.697044,661.888194,0.798485,-1.706051,73.460081
1.000001,39.914913,-104.697029,646.239875,1.052638,-3.258579,73.55699
1.000001,39.914574,-104.697006,631.486507,1.232719,-4.020759,73.53966
1.000001,39.914234,-104.696976,617.320814,0.887195,-3.941519,73.491736
1.000001,39.913895,-104.696938,603.215745,0.666084,-3.221324,73.499426
1.000001,39.913559,-104.696892,589.002443,0.588058,-2.165711,73.537992
1.000001,39.913219,-104.696838,574.640858,0.471228,-1.036231,73.593042
1.000001,39.912884,-104.696785,560.196021,0.362606,-0.062052,73.667416
1.000001,39.912544,-104.696732,545.722548,0.300007,0.61568,73.750703
1.000001,39.912209,-104.696678,531.193758,0.264502,0.953501,73.83029
1.000001,39.911869,-104.696625,516.630575,0.251319,0.978672,73.899592
1.000001,39.91153,-104.696579,501.029664,0.247665,0.76688,73.959848
1.000001,39.91119,-104.696533,482.652084,0.092361,0.410581,74.055644
1.000001,39.910851,-104.696487,464.640805,0.059365,-0.002196,74.16108
1.000001,39.910507,-104.696442,446.894803,0.23504,-0.388153,74.223405
1.000882,39.910164,-104.696396,429.520108,0.340714,-0.694509,74.224443
1.000001,39.909824,-104.69635,412.551663,0.334696,-0.891976,74.196362
1.000001,39.909485,-104.696304,395.668498,0.289554,-0.980613,74.168333
1.000001,39.909142,-104.696251,378.704208,0.230754,-0.980324,74.154689
1.000001,39.908802,-104.696205,361.659044,0.167651,-0.911575,74.158915
1.000001,39.908463,-104.696152,342.76688,0.102628,-0.803429,74.189288
1.000001,39.908123,-104.696091,321.026885,-0.125692,-0.688336,74.279145
1.000001,39.90778,-104.696037,300.247322,0.928153,-0.588918,73.989761
1.000001,39.90744,-104.695984,281.501564,2.927566,0.013698,73.107052
1.000001,39.907108,-104.695923,264.784554,2.958505,0.027796,71.925632
1.000001,39.90678,-104.695869,248.232822,1.88037,-0.20968,70.951243
1.000001,39.906456,-104.695816,230.352104,0.96693,-0.261503,70.388046
1.000001,39.906136,-104.695763,210.772268,0.030143,-0.634959,70.222288
1.000001,39.905815,-104.695702,197.385784,-0.503899,-0.618055,70.316787
1.000001,39.905495,-104.695648,183.901655,-0.209239,-0.744507,70.482908
1.000001,39.90517,-104.695587,168.917178,-1.023952,-1.522371,70.797979
1.000001,39.90485,-104.695526,153.012919,-1.052998,-1.562449,71.241339
1.000001,39.904522,-104.695465,136.880954,-0.745603,-1.413087,71.619082
1.000001,39.904194,-104.695396,120.83114,-0.799266,-0.978828,71.937622
1.000001,39.90387,-104.695328,105.525456,0.249346,1.732637,72.093897
1.002761,39.903538,-104.695259,90.699543,0.267337,5.845866,72.053262
1.000001,39.90321,-104.695206,76.520614,0.479225,9.042049,71.933129
1.000001,39.902882,-104.69516,62.223215,0.25352,11.342609,71.771278
1.000001,39.902554,-104.695137,47.697606,-0.30458,12.019891,71.565678
1.000001,39.902222,-104.695137,33.023377,0.05426,10.800436,71.253944
1.000001,39.901897,-104.69516,18.762155,1.05266,9.115076,70.803688
1.000001,39.901573,-104.695198,6.034586,1.472666,5.866221,70.006633
1.000001,39.901257,-104.695259,0.295767,2.358092,-0.593577,66.49
1.000001,39.900955,-104.695328,0.408451,4.758769,-1.439191,63.647628
1.000001,39.900673,-104.695381,0.464514,5.14407,-3.017957,61.054194
1.000001,39.900398,-104.695427,0.217992,1.939623,0.451972,57.039503
1.000001,39.90015,-104.69545,0.212099,2.500296,-0.087258,51.470198
1.000001,39.899925,-104.69548,0.161257,2.862921,-0.390975,45.379696
1.000001,39.899727,-104.695526,0.191595,3.197967,-0.832064,40.810411
1.000001,39.899559,-104.695595,0.106674,3.85113,-0.983385,35.092016
1.000001,39.899433,-104.695686,0.120698,5.615257,-1.427576,26.520854
1.000001,39.899357,-104.69577,0.300447,12.445665,-1.524345,15.905003
1.000001,39.899315,-104.695808,0.244198,10.843079,-0.889783,6.038614
1.000001,39.899307,-104.695816,0.312577,11.933013,0.186137,0.382109
1.000001,39.899307,-104.695816,0.277615,12.088841,-0.110438,0.054858
1.000001,39.899307,-104.695816,0.284045,12.07917,-0.085546,0.000955
1.000001,39.899307,-104.695816,0.283995,12.080171,-0.069542,0.001089
1.000001,39.899307,-104.695816,0.28411,12.08011,-0.051966,0.000661
1.000001,39.899307,-104.695816,0.283586,12.076872,-0.043229,0.000744
1.000001,39.899307,-104.695816,0.283187,12.076224,-0.03711,0.00011
1.000001,39.899307,-104.695816,0.282897,12.074521,-0.035879,0.00102
1.000001,39.899307,-104.695816,0.28276,12.074215,-0.031254,0.000219
1.000001,39.899307,-104.695816,0.282921,12.074512,-0.036106,0.00126
1.000001,39.899307,-104.695816,0.282892,12.074142,-0.033371,0.000274
1.000001,39.899307,-104.695816,0.282883,12.074631,-0.032959,0.000157
1.000006,39.899307,-104.695816,0.28281,12.073924,-0.031963,0.000366
1.000001,39.899307,-104.695816,0.282947,12.07572,-0.033739,0.000193
1.000001,39.899307,-104.695816,0.282966,12.075764,-0.035829,0.00153
