Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.9179,-104.697472,841.158195,7.783908,-1.262865,63.989066
1.000001,39.917603,-104.697472,821.266601,-8.501027,-26.245443,65.955545
1.000001,39.917301,-104.697449,789.879201,-8.857008,-5.205893,69.545454
1.000001,39.916988,-104.697403,753.749261,-11.144567,-15.843685,73.038788
1.000001,39.916679,-104.697304,711.427796,-10.053221,-25.474922,74.275148
1.000001,39.916367,-104.697151,669.602894,-1.030788,34.803314,77.995134
1.000001,39.916039,-104.696999,628.774067,-7.36609,-33.63921,79.556989
1.000001,39.915718,-104.696793,592.096803,2.913764,-4.552065,79.51757
1.000001,39.915394,-104.696579,566.583286,6.311325,18.779734,80.943461
1.000001,39.915058,-104.696373,550.266694,2.09718,-23.527508,77.898337
1.000001,39.914745,-104.696159,543.054513,12.428341,8.962825,75.277188
1.000001,39.914436,-104.695976,549.904097,16.466019,9.790052,71.176293
1.000001,39.914135,-104.695824,559.75658,12.13212,19.604197,67.656219
1.000001,39.913837,-104.695702,562.573899,5.262585,28.646338,66.967158
1.000001,39.913532,-104.695633,556.856909,0.162183,30.458733,68.281206
1.000001,39.913212,-104.69561,541.677567,-2.357948,26.499058,70.55227
1.000001,39.912884,-104.695648,520.245276,-3.945144,20.181011,73.13586
1.000001,39.912548,-104.695724,495.95887,-3.481925,11.755842,75.549325
1.000001,39.912212,-104.695839,472.312352,-0.822676,1.406195,77.168255
1.000001,39.911865,-104.695976,450.519166,2.201675,-6.375046,77.746541
1.000001,39.911522,-104.696106,430.998478,3.81887,-12.486803,77.372972
1.000001,39.911175,-104.696205,414.905086,3.995648,-15.316134,76.244303
1.000001,39.910828,-104.696281,400.384005,3.364621,-14.778401,74.738803
1.002942,39.910484,-104.696327,386.082143,2.858288,-11.538319,73.254377
1.000001,39.910149,-104.696342,371.42089,2.37655,-6.832631,72.106525
1.000001,39.909813,-104.696342,355.994394,1.946571,-1.935212,71.476859
1.000001,39.909485,-104.696335,339.791341,1.60053,2.130251,71.374426
1.000001,39.909153,-104.696335,322.721572,1.112165,4.885753,71.674933
1.000001,39.908821,-104.696335,305.618711,1.389613,6.470709,71.93324
1.000001,39.908489,-104.696358,288.676724,1.676158,7.251839,72.112553
1.000001,39.908154,-104.696388,271.398022,0.91678,3.759998,72.264675
1.000001,39.907818,-104.696426,253.60694,0.730555,1.961061,72.410435
1.000001,39.907486,-104.69648,234.746966,0.713743,0.170529,72.550478
