Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.912201,-104.697327,838.47369,6.140025,1.625561,85.521278
1.000001,39.911816,-104.697319,847.153378,3.578154,0.071054,81.062905
1.000001,39.911446,-104.697319,848.45438,1.290282,-4.308222,78.661253
1.000001,39.911079,-104.697304,838.950827,-2.660204,-6.53302,79.396451
1.000001,39.910706,-104.697281,819.166916,-3.867939,-6.449163,82.468293
1.000001,39.91032,-104.697243,797.201868,-3.259514,-6.763701,85.401212
1.000001,39.909924,-104.697197,780.008046,-0.633312,-6.630698,86.814986
1.000001,39.909527,-104.697128,769.360685,0.976204,-5.292598,85.3863
1.000001,39.909138,-104.697044,761.795018,1.231024,-4.904935,83.087081
1.000001,39.908764,-104.69696,754.163871,0.707598,-4.464752,80.958544
1.000001,39.908401,-104.696861,744.765148,-0.209167,-3.93368,79.240985
1.000001,39.908043,-104.696762,732.911601,-1.06288,-3.970505,78.767393
1.000001,39.907684,-104.696655,719.424744,-1.128597,-3.400876,80.147703
1.000001,39.907318,-104.696533,705.997009,-0.562467,-2.406333,81.62989
1.000001,39.906952,-104.696411,687.488618,-0.071691,-1.41987,82.788176
1.000001,39.906578,-104.696281,671.259684,0.639603,-0.564239,83.480692
1.000001,39.906208,-104.696152,656.83382,0.762595,0.522957,81.8377
1.000001,39.905846,-104.696022,642.286156,0.15705,0.613694,79.905776
1.000001,39.905491,-104.695892,637.439488,-0.469588,0.496715,78.28876
1.000001,39.90514,-104.69577,630.444224,-1.098505,-0.394892,78.101794
1.000001,39.904785,-104.695641,621.846086,-1.076684,-0.662186,79.593739
1.000001,39.904427,-104.695518,613.791117,-0.46864,-0.348562,81.069008
1.000001,39.904064,-104.695389,607.529807,0.294841,1.776297,82.143146
1.000001,39.90369,-104.695259,603.27652,0.992431,5.153694,82.792995
1.000001,39.903316,-104.695137,600.61259,1.151355,8.527681,81.835461
1.000001,39.90295,-104.69503,597.461559,0.400819,10.355896,79.608517
1.003801,39.902588,-104.694946,591.818661,-0.78682,10.416953,77.7606
1.000001,39.902233,-104.694885,583.551981,-1.452929,9.410649,77.906812
1.000001,39.901875,-104.694839,574.456331,-1.028478,8.55484,79.084406
1.000001,39.901505,-104.694817,566.633097,-0.263187,7.729403,80.052626
1.000001,39.901131,-104.694801,560.916308,0.495101,6.845338,80.464005
1.00473,39.900753,-104.694809,557.269868,1.151001,5.68524,80.502912
1.000001,39.900383,-104.694824,554.891839,1.132968,4.994766,78.563966
1.004647,39.900021,-104.694855,551.50602,0.341943,3.665782,76.428051
1.000001,39.89967,-104.694885,545.681848,-0.736044,2.148689,74.929358
1.000001,39.899323,-104.694916,537.441051,-1.198479,0.398479,75.593326
1.000001,39.898972,-104.694954,528.717609,-0.825385,-0.43789,77.136785
