Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.877613,-104.696541,735.004779,3.231956,1.888232,73.419275
1.000001,39.877277,-104.696533,732.560419,-2.016731,-4.920174,70.504323
1.000001,39.876953,-104.696526,720.586324,-2.908386,-16.762083,71.602524
1.000001,39.87661,-104.696495,705.976534,-4.219659,-23.873947,76.333589
1.000001,39.876251,-104.696404,691.181565,-1.566336,-25.235128,81.142091
1.000001,39.875885,-104.696266,678.016054,-1.810752,-27.150478,85.298756
1.000001,39.875507,-104.696075,666.534265,-1.350487,-28.656555,89.338099
1.000001,39.875141,-104.695808,657.689824,0.11073,-28.535877,91.900734
1.000001,39.87479,-104.69548,650.269336,-0.048346,-28.461786,92.13839
1.000001,39.874474,-104.695107,641.959153,-0.745842,-29.302723,92.094878
1.0018,39.874187,-104.694687,631.709682,-1.228518,-30.039116,92.443183
1.000001,39.873936,-104.694229,619.882919,-1.364357,-30.517857,94.553893
1.000001,39.873726,-104.693726,608.297352,-1.039769,-30.465235,96.689927
1.000001,39.873558,-104.693176,598.50965,-0.17094,-30.238676,97.987751
1.000001,39.873444,-104.692604,590.943833,0.453131,-29.577692,97.224197
1.000001,39.873379,-104.692024,584.129793,0.237841,-29.293613,94.738145
1.000001,39.873363,-104.69146,576.122633,-0.317289,-25.396215,92.119429
1.000001,39.873386,-104.69091,567.015669,-0.513629,-12.373634,89.76496
1.000009,39.873432,-104.690376,558.275556,0.585061,0.303167,89.0775
1.000001,39.873482,-104.689835,551.061072,1.207529,12.00486,90.207074
1.000001,39.87352,-104.689285,545.311142,1.066297,19.519651,91.422352
1.000001,39.873524,-104.688728,539.606367,0.863763,23.575109,92.659512
1.000001,39.873497,-104.688171,533.037678,0.12689,26.167461,93.897244
1.000001,39.87344,-104.687592,516.763488,4.93764,20.349216,102.065044
1.000001,39.873386,-104.687004,468.314679,4.49114,40.553577,99.592162
1.000001,39.873226,-104.68647,425.613998,-15.274671,30.106153,100.901775
1.009194,39.872864,-104.686012,456.429944,4.381891,25.172852,115.885465
1.000002,39.87244,-104.685646,514.548411,25.445166,24.288069,110.758178
1.000001,39.872025,-104.68528,541.915811,25.632952,32.424393,107.280705
1.000012,39.871624,-104.684929,547.13714,-11.510101,35.969852,100.400948
1.000001,39.871231,-104.684692,549.966374,-0.458674,29.971552,86.688261
1.000001,39.870861,-104.684608,586.695402,8.031297,23.464464,79.717587
1.000001,39.870525,-104.684563,619.881117,16.059832,23.860592,73.031069
