Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.888466,-104.6968,729.997363,22.951189,4.526689,88.501401
1.000001,39.888123,-104.696808,793.718979,18.179028,-3.247949,76.50109
1.000001,39.887814,-104.696808,838.777714,7.910183,-5.431439,68.211778
1.000001,39.887512,-104.696793,858.580349,3.510772,-2.546828,63.871158
1.000001,39.887222,-104.696777,861.617689,-1.158187,-2.796473,62.058214
1.000001,39.886936,-104.696762,854.502427,-2.210648,-4.085407,62.004387
1.000001,39.88665,-104.696732,844.130055,-1.856197,-3.093321,62.190196
1.000001,39.886364,-104.696693,833.458664,-1.605059,-1.789815,62.073997
1.000001,39.886082,-104.696655,823.039534,-1.362595,-1.731518,61.883153
1.000001,39.885796,-104.696617,813.287025,-0.525675,-1.528775,61.500523
1.000001,39.885517,-104.696564,807.688681,3.440107,-0.724654,59.607084
1.000001,39.88525,-104.69651,808.926906,5.051565,-0.149457,56.567632
1.000001,39.884998,-104.696457,811.380127,2.665054,0.108816,53.906041
1.000001,39.884758,-104.696396,809.569297,0.630083,0.418093,52.20834
1.000001,39.884521,-104.696342,803.441051,-0.118543,0.78998,51.122319
1.000001,39.884293,-104.696281,794.893425,-0.450489,1.065674,50.306785
1.000001,39.884068,-104.696228,784.955838,-0.704662,1.20784,49.658159
1.000001,39.883842,-104.696175,774.122348,-0.828326,1.284366,49.134441
1.000001,39.883621,-104.696121,762.663638,-0.829473,1.335442,48.676551
1.000001,39.883404,-104.696068,750.894996,-0.775801,1.350001,48.249901
1.002886,39.883186,-104.696022,738.900226,-0.710064,1.317656,47.842167
1.000001,39.882969,-104.695976,726.853942,-0.644082,1.253392,47.457636
1.000001,39.882755,-104.69593,714.75209,-0.584053,1.179656,47.096206
1.000001,39.882542,-104.695892,702.594019,-0.533699,1.107422,46.758416
1.000001,39.882332,-104.695847,690.380629,-0.493804,1.044153,46.444992
1.004848,39.882118,-104.695808,677.937507,-0.460768,0.993527,46.151333
1.000001,39.881908,-104.695778,665.473659,-0.4336,0.960582,45.881373
1.000001,39.881702,-104.69574,652.950188,-0.407968,0.946113,45.631248
1.000001,39.881496,-104.695709,640.39683,-0.382058,0.949801,45.396877
1.000001,39.88129,-104.695679,627.711759,-0.356604,0.969092,45.172598
1.000001,39.881084,-104.695648,615.050118,-0.332094,1.001026,44.958029
1.000001,39.880882,-104.695618,602.286801,-0.308249,1.041619,44.747795
1.000001,39.880676,-104.695587,589.441684,-0.286408,1.087558,44.540837
1.000007,39.880474,-104.695564,576.593212,-0.266079,1.136847,44.336861
1.000001,39.880272,-104.695541,563.697733,-0.246243,1.187469,44.134238
1.000001,39.88007,-104.695526,550.795996,-0.227583,1.236549,43.932739
1.000001,39.879871,-104.695503,537.840993,-0.210125,1.284431,43.73085
1.000001,39.879669,-104.695488,524.856804,-0.193697,1.330896,43.528872
1.000001,39.879475,-104.695473,511.925731,-0.17897,1.375386,43.328103
1.000001,39.879276,-104.695465,498.910805,-0.16557,1.419727,43.126043
1.000001,39.879078,-104.695457,485.972973,-0.152817,1.464745,42.924837
1.000001,39.878883,-104.69545,472.923604,-0.140936,1.512854,42.721602
1.007277,39.878685,-104.69545,459.770408,-0.129904,1.564799,42.515379
1.000001,39.878494,-104.695442,446.795931,-0.120411,1.617107,42.310743
1.000001,39.8783,-104.69545,433.691094,-0.111853,1.678848,42.102173
1.000001,39.878109,-104.695457,420.673264,-0.103869,1.743806,41.892561
1.000001,39.877918,-104.695465,407.550104,-0.096108,1.820258,41.678077
1.000001,39.877728,-104.695473,394.471849,-0.089106,1.905057,41.460149
1.000001,39.877541,-104.695488,381.39755,-0.083142,1.998659,41.237531
1.000001,39.877354,-104.695511,368.379019,-0.0778,2.102606,41.010279
1.000001,39.877167,-104.695534,355.267173,-0.072763,2.221187,40.775192
1.000001,39.876984,-104.695557,342.183187,-0.0685,2.354927,40.533673
1.000001,39.876801,-104.695587,329.126484,-0.06505,2.507162,40.284513
1.000001,39.876621,-104.695625,316.268175,0.406936,2.686481,39.765492
1.000001,39.876446,-104.695663,304.799903,2.390929,3.057413,38.601293
1.000001,39.876274,-104.695709,295.318052,3.260228,3.332201,37.017415
1.000001,39.876114,-104.695747,286.213866,2.10057,3.461222,35.67312
1.000001,39.875954,-104.695801,275.68405,1.007011,3.682818,34.802365
1.000001,39.875805,-104.695847,263.333567,0.115821,4.300986,34.371478
1.000001,39.875656,-104.695908,249.146447,-0.77684,4.330317,34.277465
1.000001,39.875511,-104.695969,233.571343,-1.205232,4.771819,34.394387
1.000001,39.875366,-104.696045,217.192499,-1.334649,5.246767,34.515606
1.000001,39.875229,-104.696129,200.779989,-0.971677,6.503461,34.508069
1.000001,39.875092,-104.69622,184.762653,-0.276666,8.89558,34.255279
1.000001,39.874966,-104.696327,169.083533,-0.38091,13.085607,33.866528
1.000001,39.874847,-104.696457,153.373188,-0.251896,17.412251,33.484973
1.000001,39.874752,-104.696602,137.218144,-0.757841,19.60854,33.356153
1.000001,39.874676,-104.696762,120.766561,-1.663118,11.986609,33.554542
1.000001,39.874619,-104.696945,104.611674,-1.403934,2.290502,33.782173
1.003235,39.874569,-104.697136,88.616891,0.064966,-8.91522,33.880042
1.000001,39.874519,-104.697319,72.91214,0.369801,-19.897932,33.744786
1.000001,39.874447,-104.697495,56.656391,-0.669622,-27.043304,33.867325
1.000025,39.874344,-104.697632,39.186097,-2.194563,-30.094156,35.007702
1.000001,39.874203,-104.697731,20.309071,-2.901916,-31.442091,37.458877
1.000001,39.874035,-104.697784,0.408213,-6.066086,-21.057421,36.865556
1.000001,39.873875,-104.697807,0.380641,8.183441,-0.167897,32.753805
1.000001,39.873737,-104.697807,0.293293,6.382127,0.944746,26.060552
1.000001,39.873638,-104.697769,0.200774,4.261201,0.303125,18.687014
1.000001,39.873581,-104.697716,0.112238,12.320995,1.746266,12.528807
1.000001,39.873566,-104.697662,0.131655,2.481545,0.801654,7.564387
1.000001,39.873569,-104.697639,0.193275,2.479929,0.920464,0.883311
