Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.892387,-104.696892,740.751155,23.083155,3.352586,97.682298
1.000001,39.892017,-104.696899,814.464926,22.275486,-1.331898,84.221274
1.002929,39.891685,-104.696915,872.774327,10.01562,-3.622683,74.195205
1.000001,39.891361,-104.696915,898.0082,1.774708,0.099404,69.108709
1.000001,39.891045,-104.696922,898.775645,-2.677732,2.462125,67.675551
1.000001,39.890736,-104.69693,892.148084,1.634684,-2.252371,66.518259
1.000039,39.890423,-104.69693,889.139479,0.278017,-2.042545,65.117283
1.000001,39.890121,-104.69693,884.256967,-0.247792,-1.636262,64.119091
1.000001,39.889824,-104.696922,877.966921,-0.361448,-1.415032,63.31964
1.000001,39.889534,-104.696907,870.924149,-0.535079,-0.720856,62.622541
1.000001,39.889244,-104.696899,863.158186,-0.618037,-0.089764,61.969254
1.000001,39.888958,-104.696884,854.830031,-0.641055,0.159712,61.358668
1.000001,39.888676,-104.696869,846.330965,-0.635778,0.329278,60.806212
1.000001,39.888397,-104.696854,837.567724,-0.612744,0.538787,60.274363
1.000001,39.888119,-104.696838,828.653497,-0.580781,0.636933,59.76053
1.000001,39.887844,-104.696823,819.563404,-0.547777,0.625563,59.27038
1.000001,39.887573,-104.696808,811.076503,0.763872,0.599588,58.294467
1.000001,39.887306,-104.6968,807.395671,4.769469,0.575061,55.807533
1.000001,39.887058,-104.696785,808.976367,4.809078,0.505845,52.745254
1.000001,39.886818,-104.69677,809.632825,2.084483,0.404445,50.387744
1.000001,39.886581,-104.696754,805.312455,0.290762,0.312482,48.994635
1.000001,39.886356,-104.696739,797.342842,-0.188021,0.245301,48.2167
1.000001,39.886135,-104.696724,787.447957,-0.437522,0.185497,47.667392
1.000001,39.885918,-104.696709,776.398351,-0.712208,0.134235,47.286694
1.000001,39.8857,-104.696693,764.631862,-0.823966,0.097474,47.033051
1.000001,39.885487,-104.696678,752.396495,-0.776175,0.078107,46.830958
1.000001,39.885273,-104.696663,739.982859,-0.682829,0.073255,46.638357
1.000001,39.885059,-104.696648,727.569273,-0.596905,0.078968,46.446523
1.000001,39.88485,-104.696632,715.150831,-0.522554,0.093212,46.256005
1.000001,39.884636,-104.696617,702.705906,-0.462289,0.113946,46.069147
1.000001,39.884426,-104.696602,690.184087,-0.417725,0.137005,45.889355
1.000001,39.884216,-104.696587,677.662969,-0.386036,0.15978,45.721116
1.000001,39.88401,-104.696571,665.10886,-0.361136,0.180599,45.56595
1.000001,39.883801,-104.696556,652.492574,-0.339682,0.197606,45.423268
1.000001,39.883595,-104.696541,639.775064,-0.320223,0.211078,45.292242
1.000001,39.883389,-104.696526,627.002135,-0.301938,0.220331,45.171816
1.000001,39.883183,-104.69651,614.169033,-0.283008,0.226192,45.060811
1.000001,39.882977,-104.696503,601.305543,-0.26254,0.23004,44.957421
1.000001,39.882771,-104.696487,588.390589,-0.241563,0.231754,44.860119
1.000001,39.882565,-104.696472,575.459016,-0.221369,0.232781,44.767823
1.000001,39.882362,-104.696457,562.540408,-0.203258,0.2335,44.680424
1.000001,39.882156,-104.696449,549.628408,-0.18756,0.234995,44.59786
1.000001,39.881954,-104.696434,536.624495,-0.172969,0.237172,44.518796
1.000001,39.881752,-104.696426,523.646264,-0.15928,0.240155,44.444103
1.004466,39.881546,-104.696411,510.523555,-0.146654,0.243489,44.372083
1.000001,39.881344,-104.696404,497.468729,-0.135275,0.248081,44.303704
