Cycle Time,Latitude,Longitude,AltAGL,Pitch,Roll,GndSpd
1.000001,39.884472,-104.696709,736.985919,7.839617,-1.521432,99.63402
1.000001,39.884037,-104.696716,767.774531,9.5376,-9.114907,92.199646
1.000001,39.883625,-104.696701,794.102501,6.14279,-15.088097,86.136454
1.000001,39.88324,-104.696663,809.623264,3.018553,-19.683254,81.660574
1.000001,39.88287,-104.696602,814.697712,-0.249682,-23.728781,79.671361
1.000001,39.882504,-104.69651,811.364207,-2.337713,-26.056101,80.254096
1.000001,39.882145,-104.696365,803.00997,-3.386481,-27.268776,81.497774
1.000001,39.881798,-104.696175,792.333423,-3.448414,-28.041998,82.797007
1.000001,39.881466,-104.695915,781.385542,-3.081305,-28.652809,83.928486
1.000001,39.881157,-104.69561,771.470082,-2.419137,-29.129955,84.782498
1.000001,39.880882,-104.695244,763.337818,-1.663465,-29.341856,85.051068
1.000001,39.880646,-104.694839,756.717516,-1.379847,-29.019133,83.296959
1.000001,39.880455,-104.694405,750.059117,-1.45854,-29.419085,81.170551
1.000001,39.880314,-104.693954,741.980168,-1.933338,-29.664139,79.303191
1.000001,39.880215,-104.693497,731.867666,-2.686518,-29.99159,77.852837
1.000001,39.880165,-104.693039,720.069087,-2.839269,-30.616079,78.207156
1.000001,39.880169,-104.692566,708.159772,-2.411878,-30.502415,79.426408
1.000001,39.880226,-104.692085,697.912854,-1.524371,-30.307743,80.352221
1.000001,39.880337,-104.69162,690.078958,-0.59924,-26.781466,79.978927
1.000001,39.880493,-104.691185,684.767667,0.248376,-13.083092,77.717303
1.000001,39.880669,-104.690781,681.791703,1.425188,0.020738,75.170892
1.000001,39.880836,-104.690399,679.500531,1.16075,10.444109,72.819567
1.000001,39.880989,-104.69001,675.345865,-0.03082,17.325001,70.918861
1.000001,39.881119,-104.689621,667.533596,-1.521419,21.178623,70.433568
1.000001,39.881222,-104.689209,656.642184,-2.205515,24.225681,71.988386
1.000001,39.88129,-104.688782,644.795746,-1.967275,26.510918,73.756079
1.000001,39.881313,-104.688332,633.710146,-1.452472,27.95322,75.21803
1.000001,39.88129,-104.687874,624.076983,-0.873049,28.861506,76.33399
1.000001,39.881218,-104.687424,616.121337,-0.365662,29.708855,76.261403
1.000001,39.881096,-104.686996,608.712564,-0.496723,30.345648,74.548589
1.000001,39.880932,-104.686607,600.047444,-1.246784,30.119286,72.905419
1.000001,39.880733,-104.686256,589.492747,-1.790531,29.529375,72.102165
1.000001,39.880493,-104.685944,578.007804,-1.483748,29.251879,73.187344
1.000001,39.880219,-104.685677,567.535909,-0.690904,29.560463,74.431882
1.000001,39.87991,-104.685471,559.127655,-0.021528,30.045389,75.068014
1.000001,39.879581,-104.685333,552.089088,0.107996,30.749683,73.593205
1.000001,39.87925,-104.685257,544.402523,-0.459188,30.584633,71.804424
1.000001,39.878922,-104.685242,534.863326,-1.245949,30.269474,70.352246
1.000001,39.878601,-104.685295,523.48066,-1.602227,29.427408,70.386467
1.000001,39.878281,-104.68541,511.695047,-1.102669,29.379286,71.800953
1.000001,39.877979,-104.6856,501.570029,-0.274385,29.726549,73.021897
1.000001,39.877701,-104.685844,493.590754,0.36957,30.362242,73.105844
1.000001,39.877453,-104.686142,486.495116,0.253438,30.904713,71.377377
1.000001,39.877251,-104.686478,478.160052,-0.503483,30.519306,69.734874
1.000001,39.877094,-104.686844,467.708132,-1.25309,29.878155,68.725226
1.000001,39.87698,-104.687233,455.799217,-1.306864,29.303799,69.748096
1.000001,39.876915,-104.687653,444.52979,-0.570772,29.500551,71.208208
1.000001,39.876904,-104.68808,435.364304,0.254065,29.881697,72.229253
1.000001,39.876945,-104.688515,428.036731,0.628778,30.661301,71.258082
1.000001,39.877037,-104.688919,420.536746,0.114709,30.785246,69.504033
1.000001,39.877171,-104.689301,411.142002,-0.761921,30.374184,68.068228
1.000001,39.877346,-104.689636,399.688974,-1.322723,29.450008,68.114068
1.000001,39.87756,-104.689941,387.69553,-0.948396,29.316116,69.630632
1.000001,39.877819,-104.690201,377.222884,-0.086187,29.337894,70.967371
1.000001,39.878109,-104.690407,369.063061,0.734855,28.411438,71.270621
